prompt_id,domain,route,complexity,condition,attempt,passed,final_passed,rules_total,rules_passed,rules_failed,rules_skipped,g1_db_driver,g2_auth_missing,g3_cross_module,g5_ts_errors,g_other_failures,tokens_in,tokens_out,tokens_total,latency_ms,wall_ms,provider,model,concurrency_slot,model_clean,iteration,weighted_cost,excluded_p30_qwen
P01,auth,POST /auth/register,low,vanilla,1,True,True,5,4,0,1,0,0,0,0,0,183,1503,1686,13699,15574,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,6195,False
P01,auth,POST /auth/register,low,aether,1,True,True,5,4,0,1,0,0,0,0,0,1191,163,1354,45630,49038,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,1843,False
P02,auth,POST /auth/login,low,aether,1,True,True,5,4,0,1,0,0,0,0,0,1202,162,1364,75153,81402,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,1850,False
P03,auth,POST /auth/logout,low,vanilla,1,True,True,5,4,0,1,0,0,0,0,0,166,560,726,7578,8924,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,2406,False
P03,auth,POST /auth/logout,low,aether,1,True,True,5,4,0,1,0,0,0,0,0,1176,363,1539,13384,16512,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,2628,False
P04,tasks,GET /tasks,low,vanilla,1,True,True,5,4,0,1,0,0,0,0,0,178,2416,2594,17487,18864,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,9842,False
P04,tasks,GET /tasks,low,aether,1,True,True,5,4,0,1,0,0,0,0,0,1194,527,1721,21108,24128,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,3302,False
P05,tasks,POST /tasks,medium,vanilla,1,True,True,5,4,0,1,0,0,0,0,0,199,1431,1630,25535,26887,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,5923,False
P05,tasks,POST /tasks,medium,aether,1,True,True,5,4,0,1,0,0,0,0,0,1214,2108,3322,17355,20423,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,9646,False
P06,tasks,PATCH /tasks/:id/status,medium,vanilla,1,True,True,5,4,0,1,0,0,0,0,0,186,2245,2431,19253,20575,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,9166,False
P06,tasks,PATCH /tasks/:id/status,medium,aether,1,True,True,5,4,0,1,0,0,0,0,0,1201,654,1855,51016,54054,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,3817,False
P07,tasks,POST /tasks/:id/assign,medium,vanilla,1,True,True,5,4,0,1,0,0,0,0,0,180,1834,2014,12861,14690,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,7516,False
P07,tasks,POST /tasks/:id/assign,medium,aether,1,True,True,5,4,0,1,0,0,0,0,0,1193,918,2111,19315,22649,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,4865,False
P08,tasks,DELETE /tasks/:id,medium,vanilla,1,True,True,5,4,0,1,0,0,0,0,0,178,1473,1651,11716,13248,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,6070,False
P08,tasks,DELETE /tasks/:id,medium,aether,1,True,True,5,4,0,1,0,0,0,0,0,1201,164,1365,20592,23855,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,1857,False
P09,tasks,POST /tasks/:id/archive,medium,vanilla,1,True,True,5,4,0,1,0,0,0,0,0,177,2196,2373,16194,17708,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,8961,False
P09,tasks,POST /tasks/:id/archive,medium,aether,1,True,True,5,4,0,1,0,0,0,0,0,1190,162,1352,56771,60016,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,1838,False
P10,tasks,GET /tasks/:id/history,medium,vanilla,1,True,True,5,4,0,1,0,0,0,0,0,172,2629,2801,16317,17668,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,10688,False
P10,tasks,GET /tasks/:id/history,medium,aether,1,True,True,5,4,0,1,0,0,0,0,0,1192,1043,2235,12896,15979,gemini,gemini-2.5-flash,0,Gemini 2.5 Flash,,5364,False
